frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
220,6.0,[464.11435144878 733.6983705661931 830.0183194941582 1024.5422277814341],[589.2399291992188 916.2799072265625 694.6074829101562 963.6961669921875],0.6112398505210876,GX15OCJ,0.6140581751947575
220,1.0,[1027.660510345467 562.2467370912974 1282.5590698987114 785.2788146330455],[1109.539306640625 699.5966186523438 1213.2235107421875 743.2384643554688],0.4328226149082184,AP05JEO,0.1317486302462652
221,6.0,[463.545618514107 734.4366702383663 829.4693048262161 1025.9282104581252],[589.2919921875 916.4331665039062 694.5401000976562 963.6421508789062],0.6140303015708923,GX15OCJ,0.6140581751947575
221,1.0,[1027.7625662568475 562.2794786056802 1282.5128634773614 786.0290057150651],[1109.517333984375 699.59765625 1213.2095947265625 743.2144775390625],0.4301421344280243,AP05JEO,0.1317486302462652
222,6.0,[463.34596119260823 737.6881738122703 829.073620772431 1029.395891799451],[589.2456665039062 918.9609375 691.0191650390625 965.4730224609375],0.6172348260879517,GX15OGJ,0.2189927577211887
223,6.0,[463.2435860863228 738.8553025910537 828.9361963566281 1030.648576601389],[589.18896484375 918.9054565429688 691.0471801757812 965.5241088867188],0.6173867583274841,GX15OGJ,0.2189927577211887
224,6.0,[463.2590046773236 741.0380912981668 829.9549060138095 1033.1307265293478],[581.7642822265625 919.8931884765625 693.3114013671875 967.5526123046875],0.5606604218482971,GX15QCJ,0.26425316200020205
225,6.0,[462.8630268392352 742.0317338144263 830.4134867646013 1034.3254524877975],[580.9528198242188 920.2703247070312 693.0551147460938 967.8576049804688],0.5674117803573608,GY15OGJ,0.6369412770067596
226,6.0,[461.12745050426213 745.1310070791163 829.9111572149953 1038.5014406402659],[582.8051147460938 928.8469848632812 692.4772338867188 972.6542358398438],0.5148909091949463,GY15OCJ,0.6789629049306831
227,6.0,[460.18205648403205 746.0706275654456 829.9399945278872 1040.1592832641331],[582.7266235351562 928.7435302734375 692.552734375 972.728759765625],0.5137436389923096,GY15OCJ,0.6789629049306831
228,6.0,[455.84669438943627 749.0119356611782 828.3070229068234 1044.321308076649],[579.8829345703125 933.0386352539062 688.3865966796875 980.7533569335938],0.5995774269104004,GY15OGJ,0.23526644431171695
229,1.0,[1026.7276157237225 569.2467485766144 1289.0439589324483 795.3309280896963],[1110.2386474609375 712.554931640625 1214.2445068359375 757.1947631835938],0.3138117790222168,AF35JEO,0.14287623538594074
232,6.0,[450.1286112611026 754.7178136624183 829.0690179707956 1051.1077006922899],[576.94482421875 940.5377197265625 691.2218627929688 987.7109985351562],0.6339926719665527,GX15OCJ,0.47373486624152034
233,1.0,[1027.6494975948224 570.9547868724962 1292.2217514491088 798.8539719791174],[1116.455322265625 713.420654296875 1218.094970703125 755.710693359375],0.3789171576499939,IF05JEO,0.24088007292674699
236,8.0,[573.5499413315856 537.5633625108383 811.3814711590594 743.4186655381602],[650.1782836914062 652.6206665039062 729.6328735351562 692.7665405273438],0.28383520245552063,XH05ZIK,0.07086633867994181
239,6.0,[447.9225160726031 766.0515140115497 829.2897581657538 1059.017297807113],[573.7537841796875 953.2657470703125 684.6285400390625 1000.17919921875],0.6011041402816772,GX15OCJ,0.2746438005759267
241,1.0,[1025.6561278980994 581.1869026411733 1293.5129507721958 811.828445485875],[1118.9046630859375 721.1764526367188 1218.878173828125 768.0316772460938],0.3240676522254944,AP05JEO,0.33413281485935326
242,1.0,[1025.1286822227448 581.5274342151763 1293.7887785824241 813.3571965449646],[1114.332275390625 721.264404296875 1209.967529296875 768.09765625],0.48773229122161865,AP05JEQ,0.6685676722208421
243,1.0,[1024.7399163474429 581.4040079241462 1294.0263166284885 814.0839680487435],[1114.3128662109375 721.3043823242188 1209.9986572265625 768.1175537109375],0.48868680000305176,AP05JEQ,0.6685676722208421
244,1.0,[1025.2242056706114 583.1629647033029 1294.5894573163037 816.2690186129588],[1106.6795654296875 724.2913818359375 1216.234130859375 768.6483764648438],0.4563503861427307,AP05JEO,0.40410273018697274
245,1.0,[1025.1781259594757 583.6413800854663 1294.6989846816402 816.9707223782542],[1106.8389892578125 724.375732421875 1216.24853515625 768.5235595703125],0.4409065246582031,AP05JEO,0.40410273018697274
246,6.0,[435.115196367572 778.9313848069647 823.452615141128 1073.4576756983354],[563.7363891601562 969.4230346679688 665.3471069335938 1013.732177734375],0.5126799941062927,GY15OGJ,0.3061180018809448
246,1.0,[1022.983384993413 586.2087522203102 1294.2536195636694 819.7315454888491],[1122.6181640625 734.3800048828125 1218.7196044921875 778.4871826171875],0.3822824954986572,AP05JEU,0.6548224919953517
246,8.0,[566.8505136632849 543.9845686627177 809.4295749014769 754.9887424941141],[641.848388671875 660.4797973632812 724.0466918945312 707.1284790039062],0.28664109110832214,KK05ZZK,0.1544567177067451
247,6.0,[434.59417730387065 779.9777660555145 823.5014885137683 1074.2018901263623],[563.7279663085938 969.4169921875 665.3862915039062 1013.7019653320312],0.5105010867118835,GY15OGJ,0.3061180018809448
247,1.0,[1021.7435037875007 587.0818589226344 1294.3168676034443 820.726654108325],[1121.917724609375 734.1822509765625 1218.4644775390625 778.55859375],0.4075218737125397,AP05JEU,0.40478216656382965
247,8.0,[566.2801401954265 544.3149414105953 809.5202865455418 755.8808409633295],[641.8685302734375 660.608642578125 724.0986328125 707.2377319335938],0.2777976095676422,KK05ZZR,0.18521139075516843
248,1.0,[1020.636247489729 587.9365870044912 1294.7032377306346 821.6721336684598],[1114.8988037109375 731.7914428710938 1215.3988037109375 774.9625854492188],0.327033132314682,AF05JEQ,0.729653356647707
249,1.0,[1019.9592783891085 588.2097452732166 1295.1124079630536 822.0076753083149],[1114.89892578125 731.79150390625 1215.3963623046875 774.9622802734375],0.32698380947113037,AF05JEQ,0.729653356647707
250,6.0,[432.21494229906347 785.0989296476642 823.5232673441351 1076.2516171046263],[568.92919921875 979.6509399414062 675.9810791015625 1026.6458740234375],0.622439444065094,GR15OGJ,0.2609259933706999
251,6.0,[431.3930495527899 786.4183593463139 823.591038947551 1076.2276451363032],[568.9524536132812 979.6739501953125 675.9580078125 1026.6309814453125],0.623374342918396,GR15OGJ,0.2609259933706999
252,6.0,[428.57664948206093 790.7473448650576 822.7053156544814 1077.2378625397132],[561.6763916015625 986.3798217773438 669.2476196289062 1034.755126953125],0.6415354013442993,GY15OGJ,0.24388794657219198
252,1.0,[1022.8638340151725 593.0178487292571 1297.0476879350808 825.435245874045],[1111.723876953125 733.2498779296875 1222.2203369140625 779.21044921875],0.34475821256637573,AF05JEO,0.22426328607458212
253,6.0,[427.155205367587 792.8630603447737 822.6186112694712 1076.9861772545084],[561.7457885742188 986.484619140625 669.1082153320312 1034.658203125],0.6414422988891602,GY15OGJ,0.24388794657219198
254,6.0,[425.4680148918695 794.8402474256658 822.1748891719699 1076.3540206898062],[560.4240112304688 989.3108520507812 671.2749633789062 1036.21533203125],0.6110780835151672,GZ15OGJ,0.1212633686151489
254,1.0,[1023.5156709274984 594.0580114709543 1297.7820610775211 827.1513100852095],[1111.72607421875 735.48193359375 1223.0362548828125 778.811279296875],0.48560237884521484,AP05JED,0.40697672930787293
255,6.0,[424.7415345399181 795.9538368069956 822.1099622987967 1075.641194986717],[560.46533203125 989.3701171875 671.2562255859375 1036.182861328125],0.6070990562438965,GZ15OGJ,0.1212633686151489
255,1.0,[1023.215794178723 594.2413127199353 1297.9853686141412 827.5626408667125],[1111.8638916015625 735.5601196289062 1222.9434814453125 778.6561889648438],0.4570504128932953,AP05JED,0.40697672930787293
256,6.0,[422.41725190050863 798.8751488371713 820.7839714193555 1075.869768481644],[550.4269409179688 990.433837890625 667.1358032226562 1040.5538330078125],0.6092228889465332,GX15OGJ,0.18687282272097325
257,6.0,[421.27950399131805 800.4022217530467 820.3460140598895 1075.4351913651624],[550.4020385742188 990.4398803710938 667.1423950195312 1040.5552978515625],0.6083887815475464,GX15OGJ,0.18687282272097325
260,33.0,[1121.2031988824847 812.5404180978582 1488.020675460571 1073.486057832975],[1255.8848876953125 992.0427856445312 1364.644775390625 1042.9521484375],0.5496082305908203,LM13VCV,0.11291999739354322
261,33.0,[1121.506500118075 813.7747852861914 1488.2993292146903 1072.9956974927732],[1255.91455078125 992.0859375 1364.6202392578125 1042.9234619140625],0.5450446605682373,LM13VCV,0.11291999739354322
262,6.0,[415.0452086422066 807.995632915193 818.0669378587976 1074.5784126485157],[551.2815551757812 1009.3575439453125 665.1325073242188 1056.446044921875],0.6696787476539612,GY15OCJ,0.25153421658733305
